bairro;classificacao_grupo;classificacao_cnae
Saude;In natura;Feira
Caju;In natura;Feira
Centro;In natura;Feira
Centro;In natura;Feira
Catumbi;In natura;Feira
Rio Comprido;In natura;Feira
Rio Comprido;In natura;Feira
Cidade Nova;In natura;Feira
Estacio;In natura;Feira
Sao Cristovao;In natura;Feira
Sao Cristovao;In natura;Feira
Santa Teresa;In natura;Feira
Gloria;In natura;Feira
Laranjeiras;In natura;Feira
Laranjeiras;In natura;Feira
Botafogo;In natura;Feira
Botafogo;In natura;Feira
Botafogo;In natura;Feira
Botafogo;In natura;Feira
Botafogo;In natura;Feira
Humaita;In natura;Feira
Urca;In natura;Feira
Leme;In natura;Feira
Copacabana;In natura;Feira
Copacabana;In natura;Feira
Copacabana;In natura;Feira
Ipanema;In natura;Feira
Ipanema;In natura;Feira
Leblon;In natura;Feira
Lagoa;In natura;Feira
Jardim Botanico;In natura;Feira
Gavea;In natura;Feira
Praca Da Bandeira;In natura;Feira
Tijuca;In natura;Feira
Tijuca;In natura;Feira
Tijuca;In natura;Feira
Tijuca;In natura;Feira
Tijuca;In natura;Feira
Tijuca;In natura;Feira
Maracana;In natura;Feira
Vila Isabel;In natura;Feira
Vila Isabel;In natura;Feira
Andarai;In natura;Feira
Andarai;In natura;Feira
Grajau;In natura;Feira
Grajau;In natura;Feira
Grajau;In natura;Feira
Bonsucesso;In natura;Feira
Ramos;In natura;Feira
Ramos;In natura;Feira
Olaria;In natura;Feira
Olaria;In natura;Feira
Penha;In natura;Feira
Penha;In natura;Feira
Penha;In natura;Feira
Penha;In natura;Feira
Penha;In natura;Feira
Braz De Pina;In natura;Feira
Vigario Geral;In natura;Feira
Jardim America;In natura;Feira
Maria Da Graca;In natura;Feira
Del Castilho;In natura;Feira
Del Castilho;In natura;Feira
Inhauma;In natura;Feira
Engenho Da Rainha;In natura;Feira
Rocha;In natura;Feira
Riachuelo;In natura;Feira
Riachuelo;In natura;Feira
Engenho Novo;In natura;Feira
Engenho Novo;In natura;Feira
Lins De Vasconcelos;In natura;Feira
Meier;In natura;Feira
Meier;In natura;Feira
Meier;In natura;Feira
Meier;In natura;Feira
Cachambi;In natura;Feira
Cachambi;In natura;Feira
Engenho De Dentro;In natura;Feira
Engenho De Dentro;In natura;Feira
Engenho De Dentro;In natura;Feira
Encantado;In natura;Feira
Piedade;In natura;Feira
Piedade;In natura;Feira
Piedade;In natura;Feira
Pilares;In natura;Feira
Vila Kosmos;In natura;Feira
Vicente De Carvalho;In natura;Feira
Vista Alegre;In natura;Feira
Vista Alegre;In natura;Feira
Iraja;In natura;Feira
Iraja;In natura;Feira
Iraja;In natura;Feira
Campinho;In natura;Feira
Quintino Bocaiuva;In natura;Feira
Cavalcanti;In natura;Feira
Engenheiro Leal;In natura;Feira
Cascadura;In natura;Feira
Madureira;In natura;Feira
Madureira;In natura;Feira
Vaz Lobo;In natura;Feira
Vaz Lobo;In natura;Feira
Rocha Miranda;In natura;Feira
Honorio Gurgel;In natura;Feira
Oswaldo Cruz;In natura;Feira
Bento Ribeiro;In natura;Feira
Bento Ribeiro;In natura;Feira
Bento Ribeiro;In natura;Feira
Marechal Hermes;In natura;Feira
Ribeira;In natura;Feira
Cacuia;In natura;Feira
Freguesia(Ilha);In natura;Feira
Jardim Guanabara;In natura;Feira
Taua;In natura;Feira
Portuguesa;In natura;Feira
Guadalupe;In natura;Feira
Guadalupe;In natura;Feira
Guadalupe;In natura;Feira
Ricardo De Albuquerque;In natura;Feira
Coelho Neto;In natura;Feira
Coelho Neto;In natura;Feira
Costa Barros;In natura;Feira
Jacarepagua;In natura;Feira
Jacarepagua;In natura;Feira
Jacarepagua;In natura;Feira
Jacarepagua;In natura;Feira
Gardenia Azul;In natura;Feira
Cidade De Deus;In natura;Feira
Cidade De Deus;In natura;Feira
Freguesia(Jacarepagua);In natura;Feira
Taquara;In natura;Feira
Taquara;In natura;Feira
Tanque;In natura;Feira
Praca Seca;In natura;Feira
Vila Valqueire;In natura;Feira
Vila Valqueire;In natura;Feira
Barra Da Tijuca;In natura;Feira
Barra Da Tijuca;In natura;Feira
Campo Dos Afonsos;In natura;Feira
Magalhaes Bastos;In natura;Feira
Magalhaes Bastos;In natura;Feira
Realengo;In natura;Feira
Realengo;In natura;Feira
Realengo;In natura;Feira
Padre Miguel;In natura;Feira
Bangu;In natura;Feira
Bangu;In natura;Feira
Bangu;In natura;Feira
Bangu;In natura;Feira
Bangu;In natura;Feira
Senador Camara;In natura;Feira
Campo Grande;In natura;Feira
Campo Grande;In natura;Feira
Santa Cruz;In natura;Feira
Sepetiba;In natura;Feira
Mare;In natura;Feira
Tijuca;Misto;Cozinha
Acari;Misto;Cozinha
Praça Seca;Misto;Cozinha
Anchieta;Misto;Cozinha
Realengo;Misto;Cozinha
Penha Circular;Misto;Cozinha
Recreio;Misto;Cozinha
Padre Miguel;Misto;Cozinha
Nova Sepetiba;Misto;Cozinha
Tanque;Misto;Cozinha
Caju;Misto;Cozinha
Campo Grande;Misto;Cozinha
Irajá;Misto;Cozinha
Vila Aliança;Misto;Cozinha
Catumbi;Misto;Cozinha
Bangu;Misto;Cozinha
Inhoaíba;Misto;Cozinha
Jardim Carioca (Ilha Do Governador);Misto;Cozinha
Padre Miguel;Misto;Cozinha
Penha Circular;Misto;Cozinha
Rocha Miranda;Misto;Cozinha
Jacarezinho;Misto;Cozinha
Penha;Misto;Cozinha
Saúde;Misto;Cozinha
Mangueira;Misto;Cozinha
Santa Cruz;Misto;Cozinha
Santa Cruz;Misto;Cozinha
Santa Cruz;Misto;Cozinha
Realengo;Misto;Cozinha
Jacarezinho;Misto;Cozinha
Manguinhos;Misto;Cozinha
Mangueira;Misto;Cozinha
Taquara;Misto;Cozinha
Vila Kosmos;Misto;Cozinha
Rocha Miranda;Misto;Cozinha
Vila Kennedy;Misto;Cozinha
Andaraí;Misto;Cozinha
Parada De Lucas;Misto;Cozinha
Rocha Miranda;Misto;Cozinha
Pavuna;Misto;Cozinha
Maré;Misto;Cozinha
Barros Filho;Misto;Cozinha
Freguesia (Ilha Do Governador);Misto;Cozinha
Bento Ribeiro;Misto;Cozinha
Recreio;Misto;Cozinha
São Cristóvão;Misto;Cozinha
Campo Grande;Misto;Cozinha
Nova Holanda (Maré);Misto;Cozinha
Anchieta;Misto;Cozinha
Guaratiba;Misto;Cozinha
Santo Cristo;Misto;Cozinha
Costa Barros;Misto;Cozinha
Andaraí;Misto;Cozinha
Bangu;Misto;Cozinha
Vila Kennedy;Misto;Cozinha
Gávea;In natura;Horta
Paciência;In natura;Horta
Penha;In natura;Horta
Tijuca;In natura;Horta
Campo Grande;In natura;Horta
Curicica;In natura;Horta
Madureira;In natura;Horta
Turiaçu;In natura;Horta
Madureira;In natura;Horta
Tijuca;In natura;Horta
Honório Gurgel;In natura;Horta
São Cristóvão;In natura;Horta
Barros Filhos;In natura;Horta
Vigário Geral;In natura;Horta
Tijuca;In natura;Horta
Tijuca;In natura;Horta
Rocha Miranda;In natura;Horta
Humaitá;In natura;Horta
Cosme Velho;In natura;Horta
Santa Cruz;In natura;Horta
Freguesia;In natura;Horta
Maré;In natura;Horta
Deodoro;In natura;Horta
Magalhães Bastos;In natura;Horta
Vigário Geral;In natura;Horta
Maré;In natura;Horta
Ilha Do Governador;In natura;Horta
Paciência;In natura;Horta
Realengo;In natura;Horta
Jacarepaguá;In natura;Horta
Anchieta;In natura;Horta
Bangu;In natura;Horta
Brás De Pina;In natura;Horta
Jardim América;In natura;Horta
Cidade De Deus;In natura;Horta
Manguinhos;In natura;Horta
Barra Da Tijuca;In natura;Horta
Jardim Sulacap;In natura;Horta
Recreio Dos Bandeirantes;In natura;Horta
Campo Grande;In natura;Horta
Inhaúma;In natura;Horta
Estácio;In natura;Horta
Tijuca;In natura;Horta
Guaratiba;In natura;Horta
Santa Teresa;In natura;Horta
Rio Das Pedras;In natura;Horta
Grajaú;In natura;Horta
Tijuca;In natura;Horta
Guaratiba;In natura;Horta
Sepetiba;In natura;Horta
Anil;In natura;Horta
Irajá;In natura;Horta
Leblon;In natura;Horta
Santa Tereza;In natura;Horta
Urca;In natura;Horta
Campo Grande;In natura;Horta
